KiCad_X_mm,KiCad_Y_mm,Nominal_pre_fill_bore_mm,Copper_land_mm,Net,UUID,Required_finish
30.6,35.55,0.2,0.45,/SWDCLK,ca3baa41-5d1c-4130-a6d3-42cf9ea8a602,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
34.3,35.9,0.2,0.45,/LED_BLUE_K,7ae33828-312e-416b-b00c-b7b99ffa18e1,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
33.181819,31.41818,0.2,0.45,/LED_BLUE_K,b7023f97-8e08-468f-b7f5-605ed96e5884,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.093,28.6091,0.2,0.45,/VSYS,1d98334c-cd0b-4c16-b20a-0e0595439bac,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.1301,36.2442,0.2,0.45,/VSYS,747fa9e9-1352-48f6-a5f0-60e6dc5454ba,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
38.8744,29.2723,0.2,0.45,/VSYS,808c2393-9bc7-4cff-87c8-edd775414e43,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
35.451,33.7108,0.2,0.45,/VSYS,98dd46b9-55d9-4966-b76f-0d5595b2c096,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
38.65,33.1,0.2,0.45,/VSYS,a9f045e8-9376-42b2-9dfa-cadeb5f319b7,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
33.7,24.25,0.2,0.45,/SHPHLD_BTN,cfc79357-042a-4792-990d-85c615690b30,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.79,34.9567,0.2,0.45,/SHPHLD_BTN,ec5a9830-87aa-4941-b3f7-ed44b5ea4ffe,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
39.4995,34.2152,0.2,0.45,/3V_MIC,026cf8cf-4ef0-4eed-8a7a-a0dfef9ee966,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
49.0928,26.2728,0.2,0.45,/3V_MIC,0a4b5b1f-16b2-4a0d-b596-35a5f90c1e59,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
44.416,25.4448,0.2,0.45,/3V_MIC,6a286019-85c2-4ffe-8052-713a5e68d1f1,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
47.9,26.0,0.2,0.45,/3V_MIC,bd55d580-17d9-476f-93e3-71c424d60d43,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
52.8,26.0,0.2,0.45,/3V_MIC,d2cc2897-f6e1-4f60-bc76-9d1b62731aa9,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
46.6379,36.2568,0.2,0.45,/HAPTIC_NEG,029162c8-50b9-47fd-af17-0b211a5f451b,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
32.15,27.35,0.2,0.45,/NTC,375ab9a4-46c8-4fe0-a72e-fb0d7636ae4a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
45.45,28.425,0.2,0.45,/NTC,fe95155d-4ae0-449a-bee7-171633aa4c4a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.05,27.05,0.2,0.45,/VBUS,23a48682-1233-43dc-8cc2-436006c36e40,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.1,32.35,0.2,0.45,/VBUS,3b140dcf-d040-465a-8130-3ab395a8c23a,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.95,28.85,0.2,0.45,/VBUS,56b927b1-857d-4515-a307-8f6645264bb1,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
27.596,34.3094,0.2,0.45,/VBUS,9a956925-888b-450a-83eb-81e871bdbb39,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
34.7246,37.9246,0.2,0.45,/VBUS,d2fc4029-e97e-4353-b455-34f88a5bf757,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
30.5445,22.1675,0.2,0.45,/USB_CC1,8863f70b-d350-48ac-90be-602d149eafba,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
31.4338,32.194,0.2,0.45,/USB_CC1,dbd53769-7233-41d8-85e2-0f4e54c88c9c,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
31.8923,33.0326,0.2,0.45,/USB_CC2,39346e4d-1135-45f2-8d4a-7e9b9f274046,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
28.5992,26.3054,0.2,0.45,/USB_CC2,6d888dab-e4d2-4ee0-8e94-656013481abf,"IPC-4761 Type VII nonconductive epoxy filled, planarized, copper capped both sides"
